Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 63,   Concat, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 256, 442368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442496, 42, 162256, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 64,     Conv, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 640, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1344, 1344, 256, 344704, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442496, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54280, ,,,,,,,, 
 65,     Conv, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 66,   Resize, 128, 40, 40, 128, 80, 80, 128,  COL, 0, 0, 1723, 1723, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 12c1ae, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 67,   Concat, 256, 80, 80, 256, 80, 80, 256,  COL, 0, 0, 6480, 6480, 8, 1, 8,,,,,,,,, L2, DMA, 6720, 6720, 64, 430080, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 256, 1720448, 82, 1fe22e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 68,     Conv, 256, 80, 80, 64, 80, 80, 256, ROW_L, 0, 0, 768, 6480, 9, 1, 9,,,,,,,,, L2, DMA, 1600, 1600, 256, 414976, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 2e, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 65500, ,,,,,,,, 
 69,     Conv, 256, 80, 80, 64, 80, 80, 256, ROW_L, 0, 0, 768, 6480, 9, 1, 9,,,,,,,,, L2, DMA, 1600, 1600, 256, 414976, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 12c1ae, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 65500, ,,,,,,,, 
 70,     Conv, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 3392, 6480, 2, 1, 2,,,,,,,,, L2, DMA, 6848, 6848, 64, 438272, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 12c1ae, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6b000, ,,,,,,,, 
 71,     Conv, 64, 80, 80, 64, 80, 80, 64, ROW_L, 164, 192, 3072, 6643, 3, 1, 3,,,,,,,,, L2, DMA, 6336, 6336, 64, 408576, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 12c1ae, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63c00, ,,,,,,,, 
 72,   Concat, 128, 80, 80, 128, 80, 80, 128,  COL, 0, 0, 6480, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 6720, 6720, 64, 430080, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 19522e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 73,     Conv, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 1600, 6480, 5, 1, 5,,,,,,,,, L2, DMA, 3264, 3264, 128, 422528, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 67280, ,,,,,,,, 
 74,     Conv, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 1600, 6480, 5, 1, 5,,,,,,,,, L2, DMA, 3264, 3264, 128, 422528, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 12c1ae, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 67280, ,,,,,,,, 
 75,     Conv, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 1fe22e, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 76,     Conv, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 1fe22e, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 77,     Conv, 128, 80, 80, 37, 80, 80, 128, ROW_L, 0, 0, 1664, 12960, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 128, 444160, 0, 0, ,,,,,,,, MSMC, CPU, 13376, 13286, 37, 495104, 164, 2d02dc, ,,,,,,,, L2, DMA, 320, 258, 37, 11904, 0, 6c700, ,,,,,,,, 
 78,     Conv, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 12c1ae, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 79,     Conv, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 12c1ae, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 81,     Conv, 128, 80, 80, 1, 80, 80, 128, ROW_L, 0, 0, 1664, 12960, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 128, 444160, 0, 0, ,,,,,,,, MSMC, CPU, 13376, 13286, 1, 13568, 164, 1fe25c, ,,,,,,,, L2, DMA, 320, 258, 1, 384, 0, 6c700, ,,,,,,,, 
 80,     Conv, 128, 80, 80, 4, 80, 80, 128, ROW_L, 0, 0, 1664, 12960, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 128, 444160, 0, 0, ,,,,,,,, MSMC, CPU, 13376, 13286, 4, 53632, 164, 20175c, ,,,,,,,, L2, DMA, 320, 258, 4, 1280, 0, 6c700, MSMC, DMA_ONCE, 320, 320, 4, 1280, 0, 7b9900, 
 82,   Concat, 42, 80, 80, 42, 80, 80, 42,  COL, 0, 0, 12960, 12960, 42, 1, 42,,,,,,,,, L2, DMA, 13376, 13376, 2, 26752, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 42, 540416, 0, 12c180, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 83,     Conv, 128, 80, 80, 128, 40, 40, 128, ROW_L, 82, 82, 972, 6562, 7, 1, 7,,,,,,,,, L2, DMA, 2112, 2112, 128, 275200, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1601, 128, 221312, 0, 1b0080, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 43300, ,,,,,,,, 
 84,   Concat, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1600, 1600, 1, 1, 1,,,,,,,,, L2, DMA, 1600, 1600, 256, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442496, 42, 360d6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 85,     Conv, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, 56, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 86,     Conv, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, 360d6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 87,     Conv, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, 360d6, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 36000, ,,,,,,,, 
 88,     Conv, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, 360d6, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 89,   Concat, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 256, 442368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442496, 42, 1b00d6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 90,     Conv, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 640, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1344, 1344, 256, 344704, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442496, 42, 56, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54280, ,,,,,,,, 
